Fut discrete || Error Rate: 11.00% || K=3 || Budgets=200
Fut discrete || Error Rate: 3.67% || K=3 || Budgets=400
Fut discrete || Error Rate: 1.13% || K=3 || Budgets=600
Fut discrete || Error Rate: 0.33% || K=3 || Budgets=800
Fut discrete || Error Rate: 0.07% || K=3 || Budgets=1000
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1200
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1400
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1600
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1800
Fut static || Error Rate: 6.13% || K=3 || Budgets=200
Fut static || Error Rate: 1.13% || K=3 || Budgets=400
Fut static || Error Rate: 0.13% || K=3 || Budgets=600
Fut static || Error Rate: 0.13% || K=3 || Budgets=800
Fut static || Error Rate: 0.00% || K=3 || Budgets=1000
Fut static || Error Rate: 0.00% || K=3 || Budgets=1200
Fut static || Error Rate: 0.00% || K=3 || Budgets=1400
Fut static || Error Rate: 0.00% || K=3 || Budgets=1600
Fut static || Error Rate: 0.00% || K=3 || Budgets=1800
Fut discrete || Error Rate: 9.20% || K=3 || Budgets=200
Fut discrete || Error Rate: 3.07% || K=3 || Budgets=400
Fut discrete || Error Rate: 1.07% || K=3 || Budgets=600
Fut discrete || Error Rate: 0.40% || K=3 || Budgets=800
Fut discrete || Error Rate: 0.20% || K=3 || Budgets=1000
Fut discrete || Error Rate: 0.07% || K=3 || Budgets=1200
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1400
Fut discrete || Error Rate: 0.00% || K=3 || Budgets=1600
Fut discrete || Error Rate: 0.07% || K=3 || Budgets=1800
Fut static || Error Rate: 6.73% || K=3 || Budgets=200
Fut static || Error Rate: 1.07% || K=3 || Budgets=400
Fut static || Error Rate: 0.47% || K=3 || Budgets=600
Fut static || Error Rate: 0.07% || K=3 || Budgets=800
Fut static || Error Rate: 0.00% || K=3 || Budgets=1000
Fut static || Error Rate: 0.00% || K=3 || Budgets=1200
Fut static || Error Rate: 0.00% || K=3 || Budgets=1400
Fut static || Error Rate: 0.00% || K=3 || Budgets=1600
Fut static || Error Rate: 0.00% || K=3 || Budgets=1800
Fut discrete || Error Rate: 30.60% || K=5 || Budgets=200
Fut discrete || Error Rate: 19.40% || K=5 || Budgets=400
Fut discrete || Error Rate: 15.00% || K=5 || Budgets=600
Fut discrete || Error Rate: 10.80% || K=5 || Budgets=800
Fut discrete || Error Rate: 7.27% || K=5 || Budgets=1000
Fut discrete || Error Rate: 6.00% || K=5 || Budgets=1200
Fut discrete || Error Rate: 4.27% || K=5 || Budgets=1400
Fut discrete || Error Rate: 3.33% || K=5 || Budgets=1600
Fut discrete || Error Rate: 2.40% || K=5 || Budgets=1800
Fut static || Error Rate: 25.67% || K=5 || Budgets=200
Fut static || Error Rate: 14.47% || K=5 || Budgets=400
Fut static || Error Rate: 7.93% || K=5 || Budgets=600
Fut static || Error Rate: 6.53% || K=5 || Budgets=800
Fut static || Error Rate: 4.40% || K=5 || Budgets=1000
Fut static || Error Rate: 2.40% || K=5 || Budgets=1200
Fut static || Error Rate: 1.87% || K=5 || Budgets=1400
Fut static || Error Rate: 1.67% || K=5 || Budgets=1600
Fut static || Error Rate: 1.20% || K=5 || Budgets=1800
Fut discrete || Error Rate: 31.47% || K=5 || Budgets=200
Fut discrete || Error Rate: 19.27% || K=5 || Budgets=400
Fut discrete || Error Rate: 13.13% || K=5 || Budgets=600
Fut discrete || Error Rate: 10.60% || K=5 || Budgets=800
Fut discrete || Error Rate: 7.53% || K=5 || Budgets=1000
Fut discrete || Error Rate: 4.53% || K=5 || Budgets=1200
Fut discrete || Error Rate: 5.13% || K=5 || Budgets=1400
Fut discrete || Error Rate: 3.33% || K=5 || Budgets=1600
Fut discrete || Error Rate: 2.87% || K=5 || Budgets=1800
Fut static || Error Rate: 21.73% || K=5 || Budgets=200
Fut static || Error Rate: 15.07% || K=5 || Budgets=400
Fut static || Error Rate: 7.67% || K=5 || Budgets=600
Fut static || Error Rate: 6.07% || K=5 || Budgets=800
Fut static || Error Rate: 3.53% || K=5 || Budgets=1000
Fut static || Error Rate: 2.93% || K=5 || Budgets=1200
Fut static || Error Rate: 2.07% || K=5 || Budgets=1400
Fut static || Error Rate: 1.20% || K=5 || Budgets=1600
Fut static || Error Rate: 0.73% || K=5 || Budgets=1800
Fut discrete || Error Rate: 54.93% || K=10 || Budgets=200
Fut discrete || Error Rate: 44.27% || K=10 || Budgets=400
Fut discrete || Error Rate: 39.20% || K=10 || Budgets=600
Fut discrete || Error Rate: 33.27% || K=10 || Budgets=800
Fut discrete || Error Rate: 30.20% || K=10 || Budgets=1000
Fut discrete || Error Rate: 29.27% || K=10 || Budgets=1200
Fut discrete || Error Rate: 26.67% || K=10 || Budgets=1400
Fut discrete || Error Rate: 23.93% || K=10 || Budgets=1600
Fut discrete || Error Rate: 21.33% || K=10 || Budgets=1800
Fut static || Error Rate: 51.40% || K=10 || Budgets=200
Fut static || Error Rate: 38.67% || K=10 || Budgets=400
Fut static || Error Rate: 35.27% || K=10 || Budgets=600
Fut static || Error Rate: 29.47% || K=10 || Budgets=800
Fut static || Error Rate: 25.07% || K=10 || Budgets=1000
Fut static || Error Rate: 22.53% || K=10 || Budgets=1200
Fut static || Error Rate: 20.47% || K=10 || Budgets=1400
